content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
me gusta la aplicación es bastante fácil de usar pero tuve un problema: quería realizar el pago por QR pero saben que en Bolivia el internet es pésimo por lo cual no me salió la factura por así decirlo donde confirma la transferencia solo me apareció error o algo así por el internet fui a un lugar dónde me llegue señal esta vez sí apareció la confirmación de la transferencia al siguiente día me fijé y se había realizado el pago dos veces y se hace un problema pongan alguna señal de pago o algo,2,12,gusta aplicación bastante fácil usar problema quería realizar pago qr saben bolivia internet pésimo salió factura así decirlo confirma transferencia solo apareció error así internet lugar dónde llegue señal vez apareció confirmación transferencia siguiente día fijé realizado pago dos veces hace problema pongan alguna señal pago,gusta aplicacion bastante facil usar problema queria realizar pago qr saben bolivia internet pesimo salio factura asi decirlo confirma transferencia solo aparecio error asi internet lugar donde llegue senal vez aparecio confirmacion transferencia siguiente dia fije realizado pago dos veces hace problema pongan alguna senal pago,gustar aplicacion bastante facil usar problema querio realizar pago saber bolivia internet pesimo salio factura asi decir él confirmar transferencia solo aparecio error asi internet lugar llegar senal vez aparecio confirmacion transferencia siguiente dia fije realizado pago dos vez hacer problema poner alguno senal pago,"['gustar', 'aplicacion', 'bastante', 'facil', 'usar', 'problema', 'querio', 'realizar', 'pago', 'saber', 'bolivia', 'internet', 'pesimo', 'salio', 'factura', 'asi', 'decir', 'él', 'confirmar', 'transferencia', 'solo', 'aparecio', 'error', 'asi', 'internet', 'lugar', 'llegar', 'senal', 'vez', 'aparecio', 'confirmacion', 'transferencia', 'siguiente', 'dia', 'fije', 'realizado', 'pago', 'dos', 'vez', 'hacer', 'problema', 'poner', 'alguno', 'senal', 'pago']"
"una porquería, cuando no hay buena conexión hace q debites en varias ocasiones y después te das cuenta",1,1,porquería buena conexión hace q debites varias ocasiones después das cuenta,porqueria buena conexion hace q debites varias ocasiones despues das cuenta,porqueria buen conexion hacer debit varios ocasión despu da cuenta,"['porqueria', 'buen', 'conexion', 'hacer', 'debit', 'varios', 'ocasión', 'despu', 'da', 'cuenta']"
"Para pagar por qr tardo demasiado, y pago doble vez , no la recomienda , es con la única banca que me pasó.",2,5,pagar qr tardo demasiado pago doble vez recomienda única banca pasó,pagar qr tardo demasiado pago doble vez recomienda unica banca paso,pagar tardo demasiado pago doble vez recomendar unico banco paso,"['pagar', 'tardo', 'demasiado', 'pago', 'doble', 'vez', 'recomendar', 'unico', 'banco', 'paso']"
muy útil y rápida para hacer transacciones financieras,5,0,útil rápida hacer transacciones financieras,util rapida hacer transacciones financieras,util rapido hacer transacción financiero,"['util', 'rapido', 'hacer', 'transacción', 'financiero']"
no deja entrar la aplicación,1,0,deja entrar aplicación,deja entrar aplicacion,dejar entrar aplicacion,"['dejar', 'entrar', 'aplicacion']"
muy buena app m tiene informado con muchos detalles sobre quienes m envían el dinero,5,0,buena app m informado detalles m envían dinero,buena app m informado detalles m envian dinero,buen app informado detalle enviar dinero,"['buen', 'app', 'informado', 'detalle', 'enviar', 'dinero']"
me parece muy buena la aplicación pero estuve viendo que no se cierra automáticamente sigue funcionando en segundo plano después de dos o tres bloqueos sigue ahí sin pedir contraseña de nuevo no debería ser así debería tener más medidas de seguridad debería serrar automático cuando ya no se usa pero este sigue abierto espero solucionen eso,3,7,parece buena aplicación viendo cierra automáticamente sigue funcionando segundo plano después dos tres bloqueos sigue ahí pedir contraseña nuevo debería ser así debería tener medidas seguridad debería serrar automático usa sigue abierto espero solucionen,parece buena aplicacion viendo cierra automaticamente sigue funcionando segundo plano despues dos tres bloqueos sigue ahi pedir contrasena nuevo deberia ser asi deberia tener medidas seguridad deberia serrar automatico usa sigue abierto espero solucionen,parecer buen aplicacion ver cerrar automaticamente seguir funcionar segundo plano despues dos tres bloqueo seguir ahi pedir contrasena nuevo deberio ser asi deberio tener medida seguridad deberio serrar automatico usa seguir abierto espero solucionar,"['parecer', 'buen', 'aplicacion', 'ver', 'cerrar', 'automaticamente', 'seguir', 'funcionar', 'segundo', 'plano', 'despues', 'dos', 'tres', 'bloqueo', 'seguir', 'ahi', 'pedir', 'contrasena', 'nuevo', 'deberio', 'ser', 'asi', 'deberio', 'tener', 'medida', 'seguridad', 'deberio', 'serrar', 'automatico', 'usa', 'seguir', 'abierto', 'espero', 'solucionar']"
en la descripción dice para todo público pero no me deja abrir o crear una cuenta por qué sera,1,0,descripción dice público deja abrir crear cuenta sera,descripcion dice publico deja abrir crear cuenta sera,descripcion decir publico dejar abrir crear cuenta sero,"['descripcion', 'decir', 'publico', 'dejar', 'abrir', 'crear', 'cuenta', 'sero']"
Tardq,5,0,tardq,tardq,tardq,['tardq']
full de bueno,5,0,full bueno,full bueno,full bueno,"['full', 'bueno']"
"muy buena , me salvo con muchas transacciones",5,1,buena salvo muchas transacciones,buena salvo muchas transacciones,buen salvo mucho transacción,"['buen', 'salvo', 'mucho', 'transacción']"
"pésima aplicación tarda mucho al momento de realizar una transacción o un pago, por culpa de su fallo pague 2 veces por qué no le llegaba a la otra persona es muy peligroso al momento de pagar o recibir pagos fatal!!! 😡😡😡",1,36,pésima aplicación tarda momento realizar transacción pago culpa fallo pague veces llegaba persona peligroso momento pagar recibir pagos fatal 😡😡😡,pesima aplicacion tarda momento realizar transaccion pago culpa fallo pague veces llegaba persona peligroso momento pagar recibir pagos fatal 😡😡😡,pesimar aplicacion tardar momento realizar transaccion pago culpa fallo pagar vez llegar persona peligroso momento pagar recibir pago fatal,"['pesimar', 'aplicacion', 'tardar', 'momento', 'realizar', 'transaccion', 'pago', 'culpa', 'fallo', 'pagar', 'vez', 'llegar', 'persona', 'peligroso', 'momento', 'pagar', 'recibir', 'pago', 'fatal']"
"BASURA se supone que es una app para estar más cómodo apenas salgo de Bolivia no puedo transferir a mis conocidos que viven en Bolivia misma tengo que estar obligado en Bolivia para usar. yape si me deja, si es cómodo",1,1,basura supone app cómodo apenas salgo bolivia puedo transferir conocidos viven bolivia misma obligado bolivia usar yape si deja si cómodo,basura supone app comodo apenas salgo bolivia puedo transferir conocidos viven bolivia misma obligado bolivia usar yape si deja si comodo,basura suponer app comodo apenas salgo bolivia poder transferir conocido vivir bolivia mismo obligado bolivia usar yape dejar comodo,"['basura', 'suponer', 'app', 'comodo', 'apenas', 'salgo', 'bolivia', 'poder', 'transferir', 'conocido', 'vivir', 'bolivia', 'mismo', 'obligado', 'bolivia', 'usar', 'yape', 'dejar', 'comodo']"
****** miserables que van a hacer los bosques con cochino 1 bs,1,0,miserables van hacer bosques cochino bs,miserables van hacer bosques cochino bs,miserable ir hacer bosques cochino,"['miserable', 'ir', 'hacer', 'bosques', 'cochino']"
bellesa,5,0,bellesa,bellesa,bellesa,['bellesa']
Es muy buena la aplicación pero no Ise activar mi GPS para mandar plata fuera de bolivia,3,0,buena aplicación ise activar gps mandar plata bolivia,buena aplicacion ise activar gps mandar plata bolivia,buen aplicacion ise activar gps mandar plata bolivio,"['buen', 'aplicacion', 'ise', 'activar', 'gps', 'mandar', 'plata', 'bolivio']"
Genial,5,0,genial,genial,genial,['genial']
la peor aplicación se traba todo el tiempo me dejó plantado muchas veces sin saber que hacer por confiar en esta aplicación barata NO LA DESCARGUEN si no quieren pasar momentos malos,1,4,peor aplicación traba tiempo dejó plantado muchas veces saber hacer confiar aplicación barata descarguen si quieren pasar momentos malos,peor aplicacion traba tiempo dejo plantado muchas veces saber hacer confiar aplicacion barata descarguen si quieren pasar momentos malos,peor aplicacion trar tiempo dejar plantado mucho vez saber hacer confiar aplicacion barata descargar querer pasar momento malo,"['peor', 'aplicacion', 'trar', 'tiempo', 'dejar', 'plantado', 'mucho', 'vez', 'saber', 'hacer', 'confiar', 'aplicacion', 'barata', 'descargar', 'querer', 'pasar', 'momento', 'malo']"
no me genera el codigo para retiro en cajero de banco sol,1,0,genera codigo retiro cajero banco sol,genera codigo retiro cajero banco sol,generar codigo retiro cajero banco sol,"['generar', 'codigo', 'retiro', 'cajero', 'banco', 'sol']"
no quiere dar Mi altoke y no me dan solución,1,1,quiere dar altoke dan solución,quiere dar altoke dan solucion,querer dar altoke dar solucion,"['querer', 'dar', 'altoke', 'dar', 'solucion']"
es aconsejable,5,0,aconsejable,aconsejable,aconsejable,['aconsejable']
que es eso de modo consulta? déjenme usar mi dinero por favor?,1,0,modo consulta déjenme usar dinero favor,modo consulta dejenme usar dinero favor,modo consulta dejenmir usar dinero favor,"['modo', 'consulta', 'dejenmir', 'usar', 'dinero', 'favor']"
muy mala la app tarda en realizar los pagos 😕,1,0,mala app tarda realizar pagos 😕,mala app tarda realizar pagos 😕,malo app tardar realizar pago,"['malo', 'app', 'tardar', 'realizar', 'pago']"
es muy bueno,5,0,bueno,bueno,bueno,['bueno']
quiero registrarme y me dice que soy menor de edad.,1,0,quiero registrarme dice menor edad,quiero registrarme dice menor edad,querer registrar yo decir menor edad,"['querer', 'registrar', 'yo', 'decir', 'menor', 'edad']"
excelente app,5,0,excelente app,excelente app,excelente app,"['excelente', 'app']"
super,5,0,super,super,super,['super']
está ap dice gana 5 por invitar a otro a descargar pero nunca llegó los 5bs ni 2 bs estafa falso no cumple lo q dice,2,0,ap dice gana invitar descargar nunca llegó bs bs estafa falso cumple q dice,ap dice gana invitar descargar nunca llego bs bs estafa falso cumple q dice,decir ganar invitar descargar nunca llego estafa falso cumplir decir,"['decir', 'ganar', 'invitar', 'descargar', 'nunca', 'llego', 'estafa', 'falso', 'cumplir', 'decir']"
Excelente servicio,5,0,excelente servicio,excelente servicio,excelente servicio,"['excelente', 'servicio']"
un asco la app de altoke deberían despedir a su director informático con la última actualización es muy vulnerable ya parece LA BASURA PERUANA DE YAPE sus operadores nunca están disponibles.,1,0,asco app altoke deberían despedir director informático última actualización vulnerable parece basura peruana yape operadores nunca disponibles,asco app altoke deberian despedir director informatico ultima actualizacion vulnerable parece basura peruana yape operadores nunca disponibles,asco app altoke deberiar despedir director informatico ultimo actualizacion vulnerable parecer basura peruano yape operador nunca disponible,"['asco', 'app', 'altoke', 'deberiar', 'despedir', 'director', 'informatico', 'ultimo', 'actualizacion', 'vulnerable', 'parecer', 'basura', 'peruano', 'yape', 'operador', 'nunca', 'disponible']"
está. muy mal,5,0,mal,mal,mal,['mal']
esta app funciona pésimo,1,0,app funciona pésimo,app funciona pesimo,app funcionar pesimo,"['app', 'funcionar', 'pesimo']"
"“Excelente app si quieres probar tu tolerancia a la frustración, entrenar para ir al psicólogo y perder 30 min de tu vida por cada transferencia. 10/10, peor que mi ex👍🏼.”",1,4,“excelente app si quieres probar tolerancia frustración entrenar ir psicólogo perder min vida cada transferencia peor ex👍🏼”,“excelente app si quieres probar tolerancia frustracion entrenar ir psicologo perder min vida cada transferencia peor ex👍🏼”,app querer probar tolerancia frustracion entrenar psicologo perder min vida cada transferencia peor,"['app', 'querer', 'probar', 'tolerancia', 'frustracion', 'entrenar', 'psicologo', 'perder', 'min', 'vida', 'cada', 'transferencia', 'peor']"
"Pésima aplicación, lenta se lagea y no es nada confiable, te deja en apuros cuándo más se necesita. Noo recomiendo a nadie.",1,4,pésima aplicación lenta lagea confiable deja apuros cuándo necesita noo recomiendo nadie,pesima aplicacion lenta lagea confiable deja apuros cuando necesita noo recomiendo nadie,pesimar aplicacion lento lagea confiable dejar apuro necesitar noo recomeir nadie,"['pesimar', 'aplicacion', 'lento', 'lagea', 'confiable', 'dejar', 'apuro', 'necesitar', 'noo', 'recomeir', 'nadie']"
pésima esta aplicación... ya no puedo hacer mis transferencias... para mi es una mala aplicación..,1,1,pésima aplicación puedo hacer transferencias mala aplicación,pesima aplicacion puedo hacer transferencias mala aplicacion,pesimar aplicacion poder hacer transferencia malo aplicacion,"['pesimar', 'aplicacion', 'poder', 'hacer', 'transferencia', 'malo', 'aplicacion']"
"casi siempre se traba, llega la notificación de la transacción pero en tu cuenta digital no está el monto transferido.",1,1,casi siempre traba llega notificación transacción cuenta digital monto transferido,casi siempre traba llega notificacion transaccion cuenta digital monto transferido,casi siempre trar llegar notificacion transaccion contar digital monto transferido,"['casi', 'siempre', 'trar', 'llegar', 'notificacion', 'transaccion', 'contar', 'digital', 'monto', 'transferido']"
muy mala me robo dinero no mas,1,0,mala robo dinero mas,mala robo dinero mas,malo robo dinero mas,"['malo', 'robo', 'dinero', 'mas']"
pésima la vdd quiero recargar y no da para nada ahora tengo un montó en la cuenta y quiero transferirla a otra cuenta y no quiere dar,1,0,pésima vdd quiero recargar da ahora montó cuenta quiero transferirla cuenta quiere dar,pesima vdd quiero recargar da ahora monto cuenta quiero transferirla cuenta quiere dar,pesimo vdd querer recargar ahora monto contar querer transferir él cuenta querer dar,"['pesimo', 'vdd', 'querer', 'recargar', 'ahora', 'monto', 'contar', 'querer', 'transferir', 'él', 'cuenta', 'querer', 'dar']"
"Que mal, su atención al cliente pésima, una tiene que estar colgada al celular como por 20 minutos hasta que le respondan, llamar y volver a llamar, que mal.",1,4,mal atención cliente pésima colgada celular minutos respondan llamar volver llamar mal,mal atencion cliente pesima colgada celular minutos respondan llamar volver llamar mal,mal atencion cliente pesimar colgado celular minuto responder llamar volver llamar mal,"['mal', 'atencion', 'cliente', 'pesimar', 'colgado', 'celular', 'minuto', 'responder', 'llamar', 'volver', 'llamar', 'mal']"
una sonsera.me aparece cuenta en revisión y tengo q ir hasta el banco no m parece agradable q tenga q perder mi tiempo en esas cosas,4,1,sonserame aparece cuenta revisión q ir banco m parece agradable q q perder tiempo cosas,sonserame aparece cuenta revision q ir banco m parece agradable q q perder tiempo cosas,sonserame aparecer contar revision banco parecer agradable perder tiempo cosa,"['sonserame', 'aparecer', 'contar', 'revision', 'banco', 'parecer', 'agradable', 'perder', 'tiempo', 'cosa']"
no se puede realizar recargas,2,0,puede realizar recargas,puede realizar recargas,poder realizar recarga,"['poder', 'realizar', 'recarga']"
muy pero muy mala experiencia descargue la app me enviaron money y no pude mandar a ningún qr ni hacer transferencia solo puedo realizar pura recarga.,1,1,mala experiencia descargue app enviaron money pude mandar ningún qr hacer transferencia solo puedo realizar pura recarga,mala experiencia descargue app enviaron money pude mandar ningun qr hacer transferencia solo puedo realizar pura recarga,malo experiencia descargue app enviar money poder mandar ningun hacer transferencia solo poder realizar puro recarga,"['malo', 'experiencia', 'descargue', 'app', 'enviar', 'money', 'poder', 'mandar', 'ningun', 'hacer', 'transferencia', 'solo', 'poder', 'realizar', 'puro', 'recarga']"
