content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
pésima la vdd quiero recargar y no da para nada ahora tengo un montó en la cuenta y quiero transferirla a otra cuenta y no quiere dar,1,0,pésima vdd quiero recargar da ahora montó cuenta quiero transferirla cuenta quiere dar,pesima vdd quiero recargar da ahora monto cuenta quiero transferirla cuenta quiere dar,pesimo vdd querer recargar dar ahora monto contar querer transferir él cuenta querer dar
"Que mal, su atención al cliente pésima, una tiene que estar colgada al celular como por 20 minutos hasta que le respondan, llamar y volver a llamar, que mal.",1,4,mal atención cliente pésima colgada celular minutos respondan llamar volver llamar mal,mal atencion cliente pesima colgada celular minutos respondan llamar volver llamar mal,mal atencion cliente pesimar colgado celular minuto responder llamar volver llamar mal
una sonsera.me aparece cuenta en revisión y tengo q ir hasta el banco no m parece agradable q tenga q perder mi tiempo en esas cosas,4,1,sonserame aparece cuenta revisión q ir banco m parece agradable q q perder tiempo cosas,sonserame aparece cuenta revision q ir banco m parece agradable q q perder tiempo cosas,sonserame aparecer cuenta revision q ir banco m parecer agradable q q perder tiempo cosa
no se puede realizar recargas,2,0,puede realizar recargas,puede realizar recargas,poder realizar recarga
muy pero muy mala experiencia descargue la app me enviaron money y no pude mandar a ningún qr ni hacer transferencia solo puedo realizar pura recarga.,1,1,mala experiencia descargue app enviaron money pude mandar ningún qr hacer transferencia solo puedo realizar pura recarga,mala experiencia descargue app enviaron money pude mandar ningun qr hacer transferencia solo puedo realizar pura recarga,malo experiencia descargue app enviar money poder mandar ningun qr hacer transferencia solo poder realizar puro recarga
muy bien,5,0,bien,bien,bien
"pésima app, no se puede pagar por qr a otras plataformas",1,0,pésima app puede pagar qr plataformas,pesima app puede pagar qr plataformas,pesimo app poder pagar qr plataformar
"Aquí pago todos los servicios, pero cuando quiero solicitar código para sacar desde el cajero me dice que estoy en modo consulta y no se porque a sigue siendo el mismo y hasta ahora no se puede cambiar",1,6,aquí pago servicios quiero solicitar código sacar cajero dice modo consulta sigue siendo mismo ahora puede cambiar,aqui pago servicios quiero solicitar codigo sacar cajero dice modo consulta sigue siendo mismo ahora puede cambiar,aqui pagar servicio querer solicitar codigo sacar cajero decir modo consulta seguir ser mismo ahora poder cambiar
no paga no quiere reconocer el QR que más da no es tan útil y eso que el QR lo saqué recién y no da,1,0,paga quiere reconocer qr da tan útil qr saqué recién da,paga quiere reconocer qr da tan util qr saque recien da,pagar querer reconocer qr dar tanto util qr sacar recien dar
en estos momentos la aplicación está funcionando muy mal porque ni siquiera permite hacer una simple transacción a otras cuentas o bien a otras billeteras me recargas yo sugiero que no le metan dinero hasta que no se arregle este problema por qué luego no creo que sea tan fácil retirar de la app al menos para mí no me permite.¿ Alguien más con este problema?,1,0,momentos aplicación funcionando mal siquiera permite hacer simple transacción cuentas bien billeteras recargas sugiero metan dinero arregle problema luego creo tan fácil retirar app menos permite¿ alguien problema,momentos aplicacion funcionando mal siquiera permite hacer simple transaccion cuentas bien billeteras recargas sugiero metan dinero arregle problema luego creo tan facil retirar app menos permite¿ alguien problema,momento aplicacion funcionar mal siquiera permitir hacer simple transaccion cuenta bien billetera recarga sugiero metan dinero arreglar problema luego creer tanto facil retirar app menos permitir ¿ alguien problema
"pésimo, sirve cuando quiere. y es muy lenta",1,0,pésimo sirve quiere lenta,pesimo sirve quiere lenta,pesimo servir querer lento
es buena la app pero no me deja transferir estando fuera del país de vacaciones hay estamos mal hay cosas que pagar y si estás fuera del país no te dejan transferir mal mal mal,1,2,buena app deja transferir país vacaciones mal cosas pagar si país dejan transferir mal mal mal,buena app deja transferir pais vacaciones mal cosas pagar si pais dejan transferir mal mal mal,buen app dejar transferir pais vacación mal cosa pagar si pai dejar transferir mal mal mal
altoke es una estafa más roba dinero sin uno dar autorización ni nada simplemente lo descuentan .. uno tiene q pagar x el uso de la apps o q pedo con eso cada mes es lo mismo 😑😑😑😑,1,7,altoke estafa roba dinero dar autorización simplemente descuentan q pagar x uso apps q pedo cada mes mismo 😑😑😑😑,altoke estafa roba dinero dar autorizacion simplemente descuentan q pagar x uso apps q pedo cada mes mismo 😑😑😑😑,altoke estafa robar dinero dar autorizacion simplemente descontar q pagar x uso apps q pedo cada mes mismo 😑 😑 😑 😑
Me encanta es una excelente App. facil de retirar ya con tarjeta y sin tarjeta facil tambien de recuperar tu cuenta de Ahorro ademas es seguro ya no tengo que estar sacando capturas al comprobante la verdad me encanta 👌 es muy completa.,5,113,encanta excelente app facil retirar tarjeta tarjeta facil tambien recuperar cuenta ahorro ademas seguro sacando capturas comprobante verdad encanta 👌 completa,encanta excelente app facil retirar tarjeta tarjeta facil tambien recuperar cuenta ahorro ademas seguro sacando capturas comprobante verdad encanta 👌 completa,encantar excelente app facil retirar tarjeta tarjeta facil tambien recuperar cuenta ahorro adema seguro sacar captura comprobante verdad encantar 👌 completo
Excelente app. 👌🏻 Tiene todo fácil de recuperar la cuenta y muy seguro a la hora de hacer los pagos y ver tu comprobante. no desaparece como otras..,5,1,excelente app 👌🏻 fácil recuperar cuenta seguro hora hacer pagos ver comprobante desaparece,excelente app 👌🏻 facil recuperar cuenta seguro hora hacer pagos ver comprobante desaparece,excelente app 👌 🏻 facil recuperar cuenta seguro hora hacer pago ver comprobante desaparecer
"no puedo pasar desde el punto de tomar foto al documento, literal estuve 30 minutos ahí tratando que reconozca",1,1,puedo pasar punto tomar foto documento literal minutos ahí tratando reconozca,puedo pasar punto tomar foto documento literal minutos ahi tratando reconozca,poder pasar punto tomar foto documento literal minutos ahi tratar reconocer
es buena la app no digo excelente pero si es buena siempre hay pequeños errores o lentitud pero quisiera dar una sugerencia deverian no solo en ser una billetera movil si no una banca móvil en donde puedas hacer inversiones 100% digital como PDF o algo así pero q cuando alguien no tenga tiempo y no sepa q hacer con el dinero pueda invertir fácil y censillo,3,24,buena app digo excelente si buena siempre pequeños errores lentitud quisiera dar sugerencia deverian solo ser billetera movil si banca móvil puedas hacer inversiones digital pdf así q alguien tiempo sepa q hacer dinero pueda invertir fácil censillo,buena app digo excelente si buena siempre pequenos errores lentitud quisiera dar sugerencia deverian solo ser billetera movil si banca movil puedas hacer inversiones digital pdf asi q alguien tiempo sepa q hacer dinero pueda invertir facil censillo,buen app decir excelente si buen siempre pequeno error lentitud querer dar sugerencia deveriar solo ser billetera movil si banca movil pueda hacer inversión digital pdf asi q alguien tiempo sepa q hacer dinero poder invertir facil censillo
Quiero usar,5,0,quiero usar,quiero usar,querer usar
"desde la última actualización tiene problemas en reconocer el GPS aún lo tengo activado sale error de ubicación, antes no tenía ese problema",4,11,última actualización problemas reconocer gps aún activado sale error ubicación problema,ultima actualizacion problemas reconocer gps aun activado sale error ubicacion problema,ultimo actualizacion problema reconocer gps aun activado salir error ubicacion problema
"malisima experiencia, me lo descargue por primera ves y al segundo día pago boleta de luz y agua, el problema fue al pagar la boleta del agua quedo como pago en proceso y nunca se pago pero la plata la retuvo la app de al toke y llame y casi nunca contesta atencion al cliente y cuando contestaron me dicen que tengo que esperar como 7 días para ver si ya sale el retorno del efectivo una ves hecho el reporte.. osea yo les digo como para sacar la plata para pagar si son rápidos y para devolver no",1,110,malisima experiencia descargue primera ves segundo día pago boleta luz agua problema pagar boleta agua quedo pago proceso nunca pago plata retuvo app toke llame casi nunca contesta atencion cliente contestaron dicen esperar días ver si sale retorno efectivo ves hecho reporte osea digo sacar plata pagar si rápidos devolver,malisima experiencia descargue primera ves segundo dia pago boleta luz agua problema pagar boleta agua quedo pago proceso nunca pago plata retuvo app toke llame casi nunca contesta atencion cliente contestaron dicen esperar dias ver si sale retorno efectivo ves hecho reporte osea digo sacar plata pagar si rapidos devolver,malisimo experiencia descargar primero ves segundo dia pago boleta luz agua problema pagar boleta agua quedo pago proceso nunca pagar plata retener app toke llamir casi nunca contesta atencion cliente contestar decir esperar dia ver si salir retorno efectivo ver hecho reporte oseo decir sacar plata pagar si rapido devolver
muy buena la aplicación 👌,5,0,buena aplicación 👌,buena aplicacion 👌,buen aplicacion 👌
"pésima aplicación, no realiza los pagos o se tarda en pagar.",1,0,pésima aplicación realiza pagos tarda pagar,pesima aplicacion realiza pagos tarda pagar,pesimar aplicacion realizar pago tardar pagar
sud per rapido,4,0,sud per rapido,sud per rapido,sud per rapido
"Está horrible la app, no quiere dar por nada , deberían arreglar eso , es aburrido estar con la app en ese estado",1,1,horrible app quiere dar deberían arreglar aburrido app,horrible app quiere dar deberian arreglar aburrido app,horrible app querer dar deberiar arreglar aburrido app
"esta app no acepta mí verificación de identidad y encima que estaba iluminado, no había sombras ni usaba gafas ESTABA BIEN en los 3 intentos me salió la verificación de buena forma PERO DE LA NADA ME VIENE CON UN ""verificación incompleta"" yo me registre con todo y esta app no lo quiere aceptar",1,3,app acepta verificación identidad encima iluminado sombras usaba gafas bien intentos salió verificación buena forma viene verificación incompleta registre app quiere aceptar,app acepta verificacion identidad encima iluminado sombras usaba gafas bien intentos salio verificacion buena forma viene verificacion incompleta registre app quiere aceptar,app aceptar verificacion identidad encima iluminado sombra usar gafa bien intento salio verificacion buen forma venir verificacion incompleta registre app querer aceptar
"Muy fácil de usar, me gusta que se pueda ver los comprobantes cuando uno quiera",5,0,fácil usar gusta pueda ver comprobantes quiera,facil usar gusta pueda ver comprobantes quiera,facil usar gusta poder ver comprobant quiera
"La aplicación es muy buena, tiene mucha seguridad y todo, el único defecto es que no se puede hacer transferencias fuera del país, sería bueno que la aplicación pueda hacer transacciones a nivel internacional.",2,5,aplicación buena mucha seguridad único defecto puede hacer transferencias país bueno aplicación pueda hacer transacciones nivel internacional,aplicacion buena mucha seguridad unico defecto puede hacer transferencias pais bueno aplicacion pueda hacer transacciones nivel internacional,aplicacion buen mucho seguridad unico defecto poder hacer transferencia pais bueno aplicacion poder hacer transacción nivel internacional
